Dates,Volumetric Soil Moisture (%)
"01-Jun-2018",39.79800618684712
"02-Jun-2018",38.968477313618024
"03-Jun-2018",38.01102314215192
"04-Jun-2018",37.16779733213431
"05-Jun-2018",38.17642387175823
"06-Jun-2018",43.30838770442009
"07-Jun-2018",44.19760532038617
"08-Jun-2018",44.286658656973415
"09-Jun-2018",43.83195011135388
"10-Jun-2018",42.91454859586723
"11-Jun-2018",43.55330748072469
"12-Jun-2018",44.726174189125466
"13-Jun-2018",44.90414907314334
"14-Jun-2018",44.69264487774275
"15-Jun-2018",43.9717111046556
"16-Jun-2018",41.88256537279599
"17-Jun-2018",40.00249547810477
"18-Jun-2018",37.836678645357736
"19-Jun-2018",36.04183451994961
"20-Jun-2018",35.77963190183565
"21-Jun-2018",37.036735408190914
"22-Jun-2018",36.56918993841512
"23-Jun-2018",36.536101301670584
"24-Jun-2018",35.830262337825594
"25-Jun-2018",36.96768581267905
"26-Jun-2018",41.206341103385334
"27-Jun-2018",40.92868534789062
"28-Jun-2018",40.491470622472
"29-Jun-2018",40.93386803852746
"30-Jun-2018",40.264037573852846
"01-Jul-2018",39.26667227756679
"02-Jul-2018",39.426688991367506
"03-Jul-2018",37.58458567609522
"04-Jul-2018",36.54487871735952
"05-Jul-2018",34.409489886186485
"06-Jul-2018",39.812952895714766
"07-Jul-2018",43.6314173044188
"08-Jul-2018",43.44327053241132
"09-Jul-2018",43.82743954113001
"10-Jul-2018",44.405834380912964
"11-Jul-2018",44.42246469777834
"12-Jul-2018",44.32934109857408
"13-Jul-2018",43.46928924957763
"14-Jul-2018",43.19623776463508
"15-Jul-2018",42.312202546763075
"16-Jul-2018",40.89759398608898
"17-Jul-2018",42.79351017797323
"18-Jul-2018",41.6349909022582
"19-Jul-2018",41.90007867224865
"20-Jul-2018",42.09954337426538
"21-Jul-2018",42.80260770765892
"22-Jul-2018",41.29211209511111
"23-Jul-2018",39.75022292958345
"24-Jul-2018",38.734067629442
"25-Jul-2018",36.92737480173825
"26-Jul-2018",34.964124999902545
"27-Jul-2018",34.41906502330738
"28-Jul-2018",33.43294969669893
"29-Jul-2018",32.82139223354297
"30-Jul-2018",33.532082229497206
"31-Jul-2018",33.08833487068314
"01-Aug-2018",34.8745148222856
"02-Aug-2018",33.64479424870351
"03-Aug-2018",32.09820282616628
"04-Aug-2018",30.326647700902335
"05-Aug-2018",28.3847249250274
"06-Aug-2018",27.768127480098
"07-Aug-2018",28.399828075151646
"08-Aug-2018",33.17012583101519
"09-Aug-2018",32.38570400369477
"10-Aug-2018",32.331022708348094
"11-Aug-2018",35.033807127941756
"12-Aug-2018",40.47682597572492
"13-Aug-2018",40.700269339320975
"14-Aug-2018",42.14418572304377
"15-Aug-2018",41.345524346157546
"16-Aug-2018",42.63019100308868
"17-Aug-2018",41.18511180260044
"18-Aug-2018",39.64237857272845
"19-Aug-2018",40.25667366652515
"20-Aug-2018",39.35042984973432
"21-Aug-2018",36.83627260175212
"22-Aug-2018",34.654864845977656
"23-Aug-2018",32.55890503088242
"24-Aug-2018",30.69417634820293
"25-Aug-2018",30.370922683646562
"26-Aug-2018",29.80084103535891
"27-Aug-2018",31.17692025889273
"28-Aug-2018",32.92492216210034
"29-Aug-2018",36.62080276634059
"30-Aug-2018",36.29909656748256
"31-Aug-2018",37.206104397452975
"01-Sep-2018",35.101137594132695
"02-Sep-2018",33.11709656005783
"03-Sep-2018",30.896866217712205
"04-Sep-2018",28.79556313338457
"05-Sep-2018",27.17731487394791
"06-Sep-2018",25.440357025361354
"07-Sep-2018",23.920399291947955
"08-Sep-2018",22.433124033151493
"09-Sep-2018",20.954399550680122
"10-Sep-2018",20.386191827354864
"11-Sep-2018",23.04447080889731
"12-Sep-2018",22.380050224815204
"13-Sep-2018",21.672290833841668
"14-Sep-2018",21.441068636151886
"15-Sep-2018",32.387150674870895
"16-Sep-2018",35.52663803808537
"17-Sep-2018",34.66139375859081
"18-Sep-2018",32.60986143524746
"19-Sep-2018",30.82003884724264
"20-Sep-2018",29.237795425444315
"21-Sep-2018",27.533079686505985
"22-Sep-2018",25.850360527402714
"23-Sep-2018",28.013862290743234
"24-Sep-2018",43.247036566833366
"25-Sep-2018",42.58010418400965
"26-Sep-2018",43.24510154875913
"27-Sep-2018",43.015617652997996
"28-Sep-2018",43.66540117627314
"29-Sep-2018",42.84485650903509
"30-Sep-2018",41.22668939424381
"01-Oct-2018",39.9016028046514
"02-Oct-2018",39.41178612587369
"03-Oct-2018",39.16043440130115
"04-Oct-2018",38.77355490856452
"05-Oct-2018",41.595793208819494
"06-Oct-2018",41.32330903311831
"07-Oct-2018",39.34054070352715
"08-Oct-2018",41.82062398013591
"09-Oct-2018",43.00998853416757
"10-Oct-2018",40.90518167675712
"11-Oct-2018",38.29406975415705
"12-Oct-2018",35.96852099374573
"13-Oct-2018",34.724480102835685
"14-Oct-2018",40.79523769999662
"15-Oct-2018",39.09686774286682
"16-Oct-2018",43.69877984917568
"17-Oct-2018",44.01012972246754
"18-Oct-2018",42.28144638466793
"19-Oct-2018",40.97262502684047
"20-Oct-2018",40.733022569885264
"21-Oct-2018",38.68504202211926
"22-Oct-2018",36.647724073891716
"23-Oct-2018",34.52819790376275
"24-Oct-2018",32.63462227228072
"25-Oct-2018",30.8771813655356
"26-Oct-2018",29.339957120028455
"27-Oct-2018",28.03531127273776
"28-Oct-2018",26.710725702640644
"29-Oct-2018",25.38475078406605
"30-Oct-2018",24.11383539958806
"31-Oct-2018",27.784777182814725
"01-Nov-2018",26.65357013369807
