Dates,RF Actual Level (mm),Last 10 Year Average (m bgl),Last Year  (m bgl),Current Level (m bgl)
"01-Jan-2014",0,NaN,"-","-"
"02-Jan-2014",0,NaN,"-","-"
"03-Jan-2014",0,NaN,"-","-"
"04-Jan-2014",0,6.93,8.230887537184682,7.3542526242920765
"05-Jan-2014",0,NaN,"-","-"
"06-Jan-2014",0,NaN,"-","-"
"07-Jan-2014",0,NaN,"-","-"
"08-Jan-2014",0,NaN,"-","-"
"09-Jan-2014",0,NaN,"-","-"
"10-Jan-2014",0,NaN,"-","-"
"11-Jan-2014",0,NaN,"-","-"
"12-Jan-2014",0,NaN,"-","-"
"13-Jan-2014",0,NaN,"-","-"
"14-Jan-2014",0,NaN,"-","-"
"15-Jan-2014",0,NaN,"-","-"
"16-Jan-2014",0,NaN,"-","-"
"17-Jan-2014",0,NaN,"-","-"
"18-Jan-2014",0,NaN,"-","-"
"19-Jan-2014",0,NaN,"-","-"
"20-Jan-2014",0,NaN,"-","-"
"21-Jan-2014",0,NaN,"-","-"
"22-Jan-2014",0,NaN,"-","-"
"23-Jan-2014",0,NaN,"-","-"
"24-Jan-2014",0,NaN,"-","-"
"25-Jan-2014",0,NaN,"-","-"
"26-Jan-2014",0,NaN,"-","-"
"27-Jan-2014",0,NaN,"-","-"
"28-Jan-2014",0,NaN,"-","-"
"29-Jan-2014",0,NaN,"-","-"
"30-Jan-2014",0,NaN,"-","-"
"31-Jan-2014",0,NaN,"-","-"
"01-Feb-2014",0,NaN,"-","-"
"02-Feb-2014",0,NaN,"-","-"
"03-Feb-2014",0,NaN,"-","-"
"04-Feb-2014",0,NaN,"-","-"
"05-Feb-2014",0,NaN,"-","-"
"06-Feb-2014",0,NaN,"-","-"
"07-Feb-2014",0,NaN,"-","-"
"08-Feb-2014",0,NaN,"-","-"
"09-Feb-2014",0,NaN,"-","-"
"10-Feb-2014",0,NaN,"-","-"
"11-Feb-2014",0,NaN,"-","-"
"12-Feb-2014",0,NaN,"-","-"
"13-Feb-2014",0,NaN,"-","-"
"14-Feb-2014",0,NaN,"-","-"
"15-Feb-2014",0,NaN,"-","-"
"16-Feb-2014",0,NaN,"-","-"
"17-Feb-2014",0,NaN,"-","-"
"18-Feb-2014",0,NaN,"-","-"
"19-Feb-2014",0,NaN,"-","-"
"20-Feb-2014",0,NaN,"-","-"
"21-Feb-2014",0,NaN,"-","-"
"22-Feb-2014",0.12,NaN,"-","-"
"23-Feb-2014",0,NaN,"-","-"
"24-Feb-2014",0,NaN,"-","-"
"25-Feb-2014",0,NaN,"-","-"
"26-Feb-2014",0.05,NaN,"-","-"
"27-Feb-2014",0,NaN,"-","-"
"28-Feb-2014",0.62,NaN,"-","-"
"01-Mar-2014",0,NaN,"-","-"
"02-Mar-2014",1.44,NaN,"-","-"
"03-Mar-2014",0,NaN,"-","-"
"04-Mar-2014",2.35,NaN,"-","-"
"05-Mar-2014",0.08,NaN,"-","-"
"06-Mar-2014",0.38,NaN,"-","-"
"07-Mar-2014",0,NaN,"-","-"
"08-Mar-2014",5.57,NaN,"-","-"
"09-Mar-2014",0.09,NaN,"-","-"
"10-Mar-2014",2.67,NaN,"-","-"
"11-Mar-2014",0,NaN,"-","-"
"12-Mar-2014",0,NaN,"-","-"
"13-Mar-2014",0,NaN,"-","-"
"14-Mar-2014",0,NaN,"-","-"
"15-Mar-2014",0,NaN,"-","-"
"16-Mar-2014",0,NaN,"-","-"
"17-Mar-2014",0,NaN,"-","-"
"18-Mar-2014",0,NaN,"-","-"
"19-Mar-2014",0,NaN,"-","-"
"20-Mar-2014",0,NaN,"-","-"
"21-Mar-2014",0,NaN,"-","-"
"22-Mar-2014",0,NaN,"-","-"
"23-Mar-2014",0.05,NaN,"-","-"
"24-Mar-2014",0,NaN,"-","-"
"25-Mar-2014",0,NaN,"-","-"
"26-Mar-2014",0,NaN,"-","-"
"27-Mar-2014",0,NaN,"-","-"
"28-Mar-2014",0,NaN,"-","-"
"29-Mar-2014",0,NaN,"-","-"
"30-Mar-2014",0,NaN,"-","-"
"31-Mar-2014",0,NaN,"-","-"
"01-Apr-2014",0,NaN,"-","-"
"02-Apr-2014",1.33,NaN,"-","-"
"03-Apr-2014",1.28,NaN,"-","-"
"04-Apr-2014",0,NaN,"-","-"
"05-Apr-2014",0,NaN,"-","-"
"06-Apr-2014",0,NaN,"-","-"
"07-Apr-2014",0.01,NaN,"-","-"
"08-Apr-2014",0,NaN,"-","-"
"09-Apr-2014",2.51,NaN,"-","-"
"10-Apr-2014",2.91,NaN,"-","-"
"11-Apr-2014",1.57,NaN,"-","-"
"12-Apr-2014",1.55,NaN,"-","-"
"13-Apr-2014",0.31,NaN,"-","-"
"14-Apr-2014",2.73,NaN,"-","-"
"15-Apr-2014",5.74,NaN,"-","-"
"16-Apr-2014",3.35,NaN,"-","-"
"17-Apr-2014",0.97,NaN,"-","-"
"18-Apr-2014",6.29,NaN,"-","-"
"19-Apr-2014",27.96,NaN,"-","-"
"20-Apr-2014",3.6,NaN,"-","-"
"21-Apr-2014",0,NaN,"-","-"
"22-Apr-2014",0,NaN,"-","-"
"23-Apr-2014",0,NaN,"-","-"
"24-Apr-2014",0,NaN,"-","-"
"25-Apr-2014",0,NaN,"-","-"
"26-Apr-2014",4.54,NaN,"-","-"
"27-Apr-2014",8.14,NaN,"-","-"
"28-Apr-2014",1.53,NaN,"-","-"
"29-Apr-2014",0,NaN,"-","-"
"30-Apr-2014",1.36,NaN,"-","-"
"01-May-2014",2.15,NaN,"-","-"
