Dates,RF Actual Level (mm),Last 10 Year Average (m bgl),Last Year  (m bgl),Current Level (m bgl)
"20-May-2014",2.56,NaN,"-","-"
"21-May-2014",4.47,NaN,"-","-"
"22-May-2014",2.33,NaN,"-","-"
"23-May-2014",6.91,NaN,"-","-"
"24-May-2014",0.05,NaN,"-","-"
"25-May-2014",0,NaN,"-","-"
"26-May-2014",0,NaN,"-","-"
"27-May-2014",0.01,NaN,"-","-"
"28-May-2014",4.6,NaN,"-","-"
"29-May-2014",22.87,NaN,"-","-"
"30-May-2014",2.34,NaN,"-","-"
"31-May-2014",8.18,NaN,"-","-"
"01-Jun-2014",4,NaN,"-","-"
"02-Jun-2014",0,NaN,"-","-"
"03-Jun-2014",19.89,NaN,"-","-"
"04-Jun-2014",0,NaN,"-","-"
"05-Jun-2014",0.45,NaN,"-","-"
"06-Jun-2014",2.89,NaN,"-","-"
"07-Jun-2014",0.64,NaN,"-","-"
"08-Jun-2014",0,NaN,"-","-"
"09-Jun-2014",0.4,NaN,"-","-"
"10-Jun-2014",0.29,NaN,"-","-"
"11-Jun-2014",0.6,NaN,"-","-"
"12-Jun-2014",1.81,NaN,"-","-"
"13-Jun-2014",2.54,NaN,"-","-"
"14-Jun-2014",0.85,NaN,"-","-"
"15-Jun-2014",1.48,NaN,"-","-"
"16-Jun-2014",0.61,NaN,"-","-"
"17-Jun-2014",1.64,NaN,"-","-"
"18-Jun-2014",1.82,NaN,"-","-"
"19-Jun-2014",9.15,NaN,"-","-"
"20-Jun-2014",7.21,NaN,"-","-"
"21-Jun-2014",2.32,NaN,"-","-"
"22-Jun-2014",3.36,NaN,"-","-"
"23-Jun-2014",0.56,NaN,"-","-"
"24-Jun-2014",0.31,NaN,"-","-"
"25-Jun-2014",0.05,NaN,"-","-"
"26-Jun-2014",0.01,NaN,"-","-"
"27-Jun-2014",0,NaN,"-","-"
"28-Jun-2014",0.35,NaN,"-","-"
"29-Jun-2014",1.46,NaN,"-","-"
"30-Jun-2014",0.41,NaN,"-","-"
"01-Jul-2014",5.25,NaN,"-","-"
"02-Jul-2014",6.13,NaN,"-","-"
"03-Jul-2014",0.06,NaN,"-","-"
"04-Jul-2014",0.02,NaN,"-","-"
"05-Jul-2014",2.23,NaN,"-","-"
"06-Jul-2014",8.01,NaN,"-","-"
"07-Jul-2014",0.64,NaN,"-","-"
"08-Jul-2014",2.91,NaN,"-","-"
"09-Jul-2014",0.53,NaN,"-","-"
"10-Jul-2014",2.59,NaN,"-","-"
"11-Jul-2014",6.74,NaN,"-","-"
"12-Jul-2014",5.38,NaN,"-","-"
"13-Jul-2014",10.21,NaN,"-","-"
"14-Jul-2014",11.57,NaN,"-","-"
"15-Jul-2014",7.41,NaN,"-","-"
"16-Jul-2014",9.7,NaN,"-","-"
"17-Jul-2014",8.24,NaN,"-","-"
"18-Jul-2014",4.3,NaN,"-","-"
"19-Jul-2014",9.19,NaN,"-","-"
"20-Jul-2014",11.31,NaN,"-","-"
"21-Jul-2014",8.6,NaN,"-","-"
"22-Jul-2014",12.4,NaN,"-","-"
"23-Jul-2014",11.19,NaN,"-","-"
"24-Jul-2014",14.15,NaN,"-","-"
"25-Jul-2014",5.53,NaN,"-","-"
"26-Jul-2014",5.19,NaN,"-","-"
"27-Jul-2014",3.13,NaN,"-","-"
"28-Jul-2014",5.98,NaN,"-","-"
"29-Jul-2014",7.9,NaN,"-","-"
"30-Jul-2014",3.33,NaN,"-","-"
"31-Jul-2014",9.77,NaN,"-","-"
"01-Aug-2014",11.25,NaN,"-","-"
"02-Aug-2014",7.78,NaN,"-","-"
"03-Aug-2014",4.34,NaN,"-","-"
"04-Aug-2014",5.76,NaN,"-","-"
"05-Aug-2014",10.24,NaN,"-","-"
"06-Aug-2014",11.43,NaN,"-","-"
"07-Aug-2014",13.43,NaN,"-","-"
"08-Aug-2014",1.66,NaN,"-","-"
"09-Aug-2014",1.46,NaN,"-","-"
"10-Aug-2014",3.98,NaN,"-","-"
"11-Aug-2014",0.82,NaN,"-","-"
"12-Aug-2014",4.22,NaN,"-","-"
"13-Aug-2014",0.75,NaN,"-","-"
"14-Aug-2014",0.79,NaN,"-","-"
"15-Aug-2014",4.2,NaN,"-","-"
"16-Aug-2014",0.19,NaN,"-","-"
"17-Aug-2014",0.01,NaN,"-","-"
"18-Aug-2014",2.19,NaN,"-","-"
"19-Aug-2014",22.16,NaN,"-","-"
"20-Aug-2014",8.24,NaN,"-","-"
"21-Aug-2014",12.22,NaN,"-","-"
"22-Aug-2014",6.87,NaN,"-","-"
"23-Aug-2014",8.99,NaN,"-","-"
"24-Aug-2014",0.13,6.31,7.1267777876570415,6.811232587744612
"25-Aug-2014",1.33,NaN,"-","-"
"26-Aug-2014",0.78,NaN,"-","-"
"27-Aug-2014",0.19,NaN,"-","-"
"28-Aug-2014",2.54,NaN,"-","-"
"29-Aug-2014",1.7,NaN,"-","-"
"30-Aug-2014",2.37,NaN,"-","-"
"31-Aug-2014",3.99,NaN,"-","-"
"01-Sep-2014",6.82,NaN,"-","-"
"02-Sep-2014",3.81,NaN,"-","-"
"03-Sep-2014",0.81,NaN,"-","-"
"04-Sep-2014",5.5,NaN,"-","-"
"05-Sep-2014",2.53,NaN,"-","-"
"06-Sep-2014",1.72,NaN,"-","-"
"07-Sep-2014",2.9,NaN,"-","-"
"08-Sep-2014",0.43,NaN,"-","-"
"09-Sep-2014",0.35,NaN,"-","-"
"10-Sep-2014",0.27,NaN,"-","-"
"11-Sep-2014",0.08,NaN,"-","-"
"12-Sep-2014",0.15,NaN,"-","-"
"13-Sep-2014",0.3,NaN,"-","-"
"14-Sep-2014",0.89,NaN,"-","-"
"15-Sep-2014",3.57,NaN,"-","-"
"16-Sep-2014",5.55,NaN,"-","-"
"17-Sep-2014",1.23,NaN,"-","-"
"18-Sep-2014",0.19,NaN,"-","-"
"19-Sep-2014",0.22,NaN,"-","-"
"20-Sep-2014",7.03,NaN,"-","-"
"21-Sep-2014",2.39,NaN,"-","-"
"22-Sep-2014",0.81,NaN,"-","-"
"23-Sep-2014",2.53,NaN,"-","-"
"24-Sep-2014",13.25,NaN,"-","-"
"25-Sep-2014",46.23,NaN,"-","-"
"26-Sep-2014",42.62,NaN,"-","-"
"27-Sep-2014",5.38,NaN,"-","-"
"28-Sep-2014",1.26,NaN,"-","-"
"29-Sep-2014",40.05,NaN,"-","-"
"30-Sep-2014",0.63,NaN,"-","-"
"01-Oct-2014",6.08,NaN,"-","-"
"02-Oct-2014",0.02,NaN,"-","-"
"03-Oct-2014",0,NaN,"-","-"
"04-Oct-2014",0.34,NaN,"-","-"
"05-Oct-2014",0.06,NaN,"-","-"
"06-Oct-2014",3.08,NaN,"-","-"
"07-Oct-2014",16.31,NaN,"-","-"
"08-Oct-2014",10.35,NaN,"-","-"
"09-Oct-2014",12.99,NaN,"-","-"
"10-Oct-2014",4.78,NaN,"-","-"
"11-Oct-2014",5.99,NaN,"-","-"
"12-Oct-2014",6.42,NaN,"-","-"
"13-Oct-2014",0.39,NaN,"-","-"
"14-Oct-2014",0,NaN,"-","-"
"15-Oct-2014",0,NaN,"-","-"
"16-Oct-2014",3.51,NaN,"-","-"
"17-Oct-2014",0.72,NaN,"-","-"
"18-Oct-2014",2.53,NaN,"-","-"
"19-Oct-2014",8.48,NaN,"-","-"
"20-Oct-2014",8.05,NaN,"-","-"
"21-Oct-2014",6.77,NaN,"-","-"
"22-Oct-2014",3.15,NaN,"-","-"
"23-Oct-2014",2.51,NaN,"-","-"
"24-Oct-2014",5.94,NaN,"-","-"
"25-Oct-2014",8.66,NaN,"-","-"
"26-Oct-2014",14.07,NaN,"-","-"
"27-Oct-2014",24.34,NaN,"-","-"
"28-Oct-2014",13.63,NaN,"-","-"
"29-Oct-2014",0.05,NaN,"-","-"
"30-Oct-2014",0,NaN,"-","-"
"31-Oct-2014",0,NaN,"-","-"
"01-Nov-2014",0,NaN,"-","-"
"02-Nov-2014",0,NaN,"-","-"
"03-Nov-2014",0.01,NaN,"-","-"
"04-Nov-2014",0,5.65,6.590765612587112,5.23626504773767
"05-Nov-2014",0,NaN,"-","-"
"06-Nov-2014",0,NaN,"-","-"
"07-Nov-2014",0,NaN,"-","-"
"08-Nov-2014",0,NaN,"-","-"
"09-Nov-2014",0,NaN,"-","-"
"10-Nov-2014",0.02,NaN,"-","-"
"11-Nov-2014",0.3,NaN,"-","-"
"12-Nov-2014",0.51,NaN,"-","-"
"13-Nov-2014",0.23,NaN,"-","-"
"14-Nov-2014",3.93,NaN,"-","-"
"15-Nov-2014",4.04,NaN,"-","-"
"16-Nov-2014",0.01,NaN,"-","-"
"17-Nov-2014",0,NaN,"-","-"
"18-Nov-2014",0,NaN,"-","-"
"19-Nov-2014",0,NaN,"-","-"
"20-Nov-2014",0,NaN,"-","-"
"21-Nov-2014",0,NaN,"-","-"
"22-Nov-2014",0,NaN,"-","-"
"23-Nov-2014",0,NaN,"-","-"
"24-Nov-2014",0,NaN,"-","-"
"25-Nov-2014",0,NaN,"-","-"
"26-Nov-2014",0,NaN,"-","-"
"27-Nov-2014",0,NaN,"-","-"
"28-Nov-2014",0,NaN,"-","-"
"29-Nov-2014",0,NaN,"-","-"
"30-Nov-2014",0,NaN,"-","-"
"01-Dec-2014",0,NaN,"-","-"
"02-Dec-2014",0,NaN,"-","-"
"03-Dec-2014",0,NaN,"-","-"
"04-Dec-2014",0,NaN,"-","-"
"05-Dec-2014",0,NaN,"-","-"
"06-Dec-2014",0,NaN,"-","-"
"07-Dec-2014",0,NaN,"-","-"
"08-Dec-2014",0,NaN,"-","-"
"09-Dec-2014",1.56,NaN,"-","-"
"10-Dec-2014",0,NaN,"-","-"
"11-Dec-2014",8.96,NaN,"-","-"
"12-Dec-2014",0.35,NaN,"-","-"
"13-Dec-2014",0.16,NaN,"-","-"
"14-Dec-2014",1.43,NaN,"-","-"
"15-Dec-2014",0.18,NaN,"-","-"
"16-Dec-2014",3.14,NaN,"-","-"
"17-Dec-2014",0,NaN,"-","-"
"18-Dec-2014",0,NaN,"-","-"
"19-Dec-2014",0,NaN,"-","-"
"20-Dec-2014",0,NaN,"-","-"
"21-Dec-2014",0,NaN,"-","-"
"22-Dec-2014",0,NaN,"-","-"
"23-Dec-2014",0,NaN,"-","-"
"24-Dec-2014",0,NaN,"-","-"
"25-Dec-2014",0,NaN,"-","-"
"26-Dec-2014",0,NaN,"-","-"
"27-Dec-2014",0,NaN,"-","-"
"28-Dec-2014",0,NaN,"-","-"
"29-Dec-2014",0,NaN,"-","-"
"30-Dec-2014",0.04,NaN,"-","-"
"31-Dec-2014",0,NaN,"-","-"
"01-Jan-2015",0,NaN,"-","-"
"02-Jan-2015",0,NaN,"-","-"
"03-Jan-2015",0,NaN,"-","-"
"04-Jan-2015",0,6.78,7.3542526242920765,6.682794462433128
"05-Jan-2015",0,NaN,"-","-"
"06-Jan-2015",0,NaN,"-","-"
"07-Jan-2015",0,NaN,"-","-"
"08-Jan-2015",0,NaN,"-","-"
"09-Jan-2015",0,NaN,"-","-"
"10-Jan-2015",0,NaN,"-","-"
"11-Jan-2015",0,NaN,"-","-"
"12-Jan-2015",0,NaN,"-","-"
"13-Jan-2015",0,NaN,"-","-"
"14-Jan-2015",0,NaN,"-","-"
"15-Jan-2015",0,NaN,"-","-"
"16-Jan-2015",0,NaN,"-","-"
"17-Jan-2015",0,NaN,"-","-"
"18-Jan-2015",0,NaN,"-","-"
"19-Jan-2015",0,NaN,"-","-"
"20-Jan-2015",0,NaN,"-","-"
"21-Jan-2015",0.46,NaN,"-","-"
"22-Jan-2015",0,NaN,"-","-"
"23-Jan-2015",0,NaN,"-","-"
"24-Jan-2015",0,NaN,"-","-"
"25-Jan-2015",0,NaN,"-","-"
"26-Jan-2015",0,NaN,"-","-"
"27-Jan-2015",0,NaN,"-","-"
"28-Jan-2015",0,NaN,"-","-"
"29-Jan-2015",0,NaN,"-","-"
"30-Jan-2015",0,NaN,"-","-"
"31-Jan-2015",0,NaN,"-","-"
"01-Feb-2015",0,NaN,"-","-"
"02-Feb-2015",0,NaN,"-","-"
"03-Feb-2015",0,NaN,"-","-"
"04-Feb-2015",0,NaN,"-","-"
"05-Feb-2015",0,NaN,"-","-"
"06-Feb-2015",0,NaN,"-","-"
"07-Feb-2015",0,NaN,"-","-"
"08-Feb-2015",0,NaN,"-","-"
"09-Feb-2015",0,NaN,"-","-"
"10-Feb-2015",0,NaN,"-","-"
"11-Feb-2015",0,NaN,"-","-"
"12-Feb-2015",0,NaN,"-","-"
"13-Feb-2015",0,NaN,"-","-"
"14-Feb-2015",0,NaN,"-","-"
"15-Feb-2015",0,NaN,"-","-"
"16-Feb-2015",0,NaN,"-","-"
"17-Feb-2015",0,NaN,"-","-"
"18-Feb-2015",0,NaN,"-","-"
"19-Feb-2015",0,NaN,"-","-"
"20-Feb-2015",0,NaN,"-","-"
"21-Feb-2015",0,NaN,"-","-"
"22-Feb-2015",0,NaN,"-","-"
"23-Feb-2015",0,NaN,"-","-"
"24-Feb-2015",0,NaN,"-","-"
"25-Feb-2015",0,NaN,"-","-"
"26-Feb-2015",0,NaN,"-","-"
"27-Feb-2015",0,NaN,"-","-"
"28-Feb-2015",0,NaN,"-","-"
"01-Mar-2015",0.13,NaN,"-","-"
"02-Mar-2015",0.01,NaN,"-","-"
"03-Mar-2015",0,NaN,"-","-"
"04-Mar-2015",0.33,NaN,"-","-"
"05-Mar-2015",0.03,NaN,"-","-"
"06-Mar-2015",0.01,NaN,"-","-"
"07-Mar-2015",10.01,NaN,"-","-"
"08-Mar-2015",7.1,NaN,"-","-"
"09-Mar-2015",4.77,NaN,"-","-"
"10-Mar-2015",0.69,NaN,"-","-"
"11-Mar-2015",0,NaN,"-","-"
"12-Mar-2015",0,NaN,"-","-"
"13-Mar-2015",0,NaN,"-","-"
"14-Mar-2015",0,NaN,"-","-"
"15-Mar-2015",0.37,NaN,"-","-"
"16-Mar-2015",4.96,NaN,"-","-"
"17-Mar-2015",0.07,NaN,"-","-"
"18-Mar-2015",0,NaN,"-","-"
"19-Mar-2015",0,NaN,"-","-"
"20-Mar-2015",0,NaN,"-","-"
"21-Mar-2015",0,NaN,"-","-"
"22-Mar-2015",0,NaN,"-","-"
"23-Mar-2015",0,NaN,"-","-"
"24-Mar-2015",0,NaN,"-","-"
"25-Mar-2015",0,NaN,"-","-"
"26-Mar-2015",0,NaN,"-","-"
"27-Mar-2015",0,NaN,"-","-"
"28-Mar-2015",0,NaN,"-","-"
"29-Mar-2015",0.01,NaN,"-","-"
"30-Mar-2015",0,NaN,"-","-"
"31-Mar-2015",0.05,NaN,"-","-"
"01-Apr-2015",8.12,NaN,"-","-"
"02-Apr-2015",2.55,NaN,"-","-"
"03-Apr-2015",0.07,NaN,"-","-"
"04-Apr-2015",0,NaN,"-","-"
"05-Apr-2015",0,NaN,"-","-"
"06-Apr-2015",0.59,NaN,"-","-"
"07-Apr-2015",1.7,NaN,"-","-"
"08-Apr-2015",2.79,NaN,"-","-"
"09-Apr-2015",2.14,NaN,"-","-"
"10-Apr-2015",0.15,NaN,"-","-"
"11-Apr-2015",9.16,NaN,"-","-"
"12-Apr-2015",2.99,NaN,"-","-"
"13-Apr-2015",13.49,NaN,"-","-"
"14-Apr-2015",2.33,NaN,"-","-"
"15-Apr-2015",0.57,NaN,"-","-"
"16-Apr-2015",0.08,NaN,"-","-"
"17-Apr-2015",3.84,NaN,"-","-"
"18-Apr-2015",0.35,NaN,"-","-"
"19-Apr-2015",0,NaN,"-","-"
"20-Apr-2015",0.01,NaN,"-","-"
"21-Apr-2015",0,NaN,"-","-"
"22-Apr-2015",8.9,NaN,"-","-"
"23-Apr-2015",2.15,NaN,"-","-"
"24-Apr-2015",5.75,NaN,"-","-"
"25-Apr-2015",8.44,NaN,"-","-"
"26-Apr-2015",8.02,NaN,"-","-"
"27-Apr-2015",5.81,NaN,"-","-"
"28-Apr-2015",0.02,NaN,"-","-"
"29-Apr-2015",1.63,NaN,"-","-"
"30-Apr-2015",5.16,NaN,"-","-"
"01-May-2015",5.88,NaN,"-","-"
"02-May-2015",2.39,NaN,"-","-"
"03-May-2015",11.43,NaN,"-","-"
"04-May-2015",1.34,NaN,"-","-"
"05-May-2015",2.63,NaN,"-","-"
"06-May-2015",0.1,NaN,"-","-"
"07-May-2015",5.24,NaN,"-","-"
"08-May-2015",2.37,NaN,"-","-"
"09-May-2015",0.8,NaN,"-","-"
"10-May-2015",1.42,NaN,"-","-"
"11-May-2015",3.37,NaN,"-","-"
"12-May-2015",0.51,NaN,"-","-"
"13-May-2015",14.64,NaN,"-","-"
"14-May-2015",5.51,8.16,8.774421626354002,8.094236689192849
"15-May-2015",1.25,NaN,"-","-"
"16-May-2015",21.23,NaN,"-","-"
"17-May-2015",8.35,NaN,"-","-"
"18-May-2015",4.44,NaN,"-","-"
"19-May-2015",8.19,NaN,"-","-"
"20-May-2015",5.34,NaN,"-","-"
"21-May-2015",0.15,NaN,"-","-"
"22-May-2015",0,NaN,"-","-"
"23-May-2015",0,NaN,"-","-"
"24-May-2015",0.64,NaN,"-","-"
"25-May-2015",0,NaN,"-","-"
"26-May-2015",0,NaN,"-","-"
"27-May-2015",0,NaN,"-","-"
"28-May-2015",3.01,NaN,"-","-"
"29-May-2015",0.04,NaN,"-","-"
"30-May-2015",21.29,NaN,"-","-"
"31-May-2015",0,NaN,"-","-"
"01-Jun-2015",28.46,NaN,"-","-"
"02-Jun-2015",7.26,NaN,"-","-"
"03-Jun-2015",7.58,NaN,"-","-"
"04-Jun-2015",0.24,NaN,"-","-"
"05-Jun-2015",7.63,NaN,"-","-"
"06-Jun-2015",3.49,NaN,"-","-"
"07-Jun-2015",0,NaN,"-","-"
"08-Jun-2015",0.54,NaN,"-","-"
"09-Jun-2015",0.71,NaN,"-","-"
"10-Jun-2015",5.19,NaN,"-","-"
"11-Jun-2015",0.12,NaN,"-","-"
"12-Jun-2015",4.95,NaN,"-","-"
"13-Jun-2015",2.79,NaN,"-","-"
"14-Jun-2015",3.58,NaN,"-","-"
"15-Jun-2015",1.1,NaN,"-","-"
"16-Jun-2015",0.96,NaN,"-","-"
"17-Jun-2015",1.15,NaN,"-","-"
"18-Jun-2015",1.55,NaN,"-","-"
"19-Jun-2015",5.74,NaN,"-","-"
"20-Jun-2015",19.53,NaN,"-","-"
"21-Jun-2015",17.55,NaN,"-","-"
"22-Jun-2015",18.76,NaN,"-","-"
"23-Jun-2015",12.56,NaN,"-","-"
"24-Jun-2015",18.87,NaN,"-","-"
"25-Jun-2015",10.77,NaN,"-","-"
"26-Jun-2015",23.22,NaN,"-","-"
"27-Jun-2015",3.35,NaN,"-","-"
"28-Jun-2015",0.84,NaN,"-","-"
"29-Jun-2015",0.64,NaN,"-","-"
"30-Jun-2015",0.55,NaN,"-","-"
"01-Jul-2015",0.66,NaN,"-","-"
"02-Jul-2015",0.18,NaN,"-","-"
"03-Jul-2015",0.69,NaN,"-","-"
"04-Jul-2015",0.14,NaN,"-","-"
"05-Jul-2015",0.16,NaN,"-","-"
"06-Jul-2015",0.03,NaN,"-","-"
"07-Jul-2015",0.06,NaN,"-","-"
"08-Jul-2015",1.46,NaN,"-","-"
"09-Jul-2015",1.44,NaN,"-","-"
"10-Jul-2015",1.24,NaN,"-","-"
"11-Jul-2015",1.81,NaN,"-","-"
"12-Jul-2015",1.23,NaN,"-","-"
"13-Jul-2015",3.89,NaN,"-","-"
"14-Jul-2015",1.96,NaN,"-","-"
"15-Jul-2015",0.5,NaN,"-","-"
"16-Jul-2015",0.71,NaN,"-","-"
"17-Jul-2015",1.2,NaN,"-","-"
"18-Jul-2015",3.66,NaN,"-","-"
"19-Jul-2015",5.52,NaN,"-","-"
"20-Jul-2015",10.26,NaN,"-","-"
"21-Jul-2015",1,NaN,"-","-"
"22-Jul-2015",0.67,NaN,"-","-"
"23-Jul-2015",3.86,NaN,"-","-"
"24-Jul-2015",5.35,NaN,"-","-"
"25-Jul-2015",0.52,NaN,"-","-"
"26-Jul-2015",2.3,NaN,"-","-"
"27-Jul-2015",1.61,NaN,"-","-"
"28-Jul-2015",1.3,NaN,"-","-"
"29-Jul-2015",0.76,NaN,"-","-"
"30-Jul-2015",0.03,NaN,"-","-"
"31-Jul-2015",0.16,NaN,"-","-"
"01-Aug-2015",2.53,NaN,"-","-"
"02-Aug-2015",7.64,NaN,"-","-"
"03-Aug-2015",2.36,NaN,"-","-"
"04-Aug-2015",2.31,NaN,"-","-"
"05-Aug-2015",1.99,NaN,"-","-"
"06-Aug-2015",2.6,NaN,"-","-"
"07-Aug-2015",5.51,NaN,"-","-"
"08-Aug-2015",3.02,NaN,"-","-"
"09-Aug-2015",0.88,NaN,"-","-"
"10-Aug-2015",0.87,NaN,"-","-"
"11-Aug-2015",2.98,NaN,"-","-"
"12-Aug-2015",2.28,NaN,"-","-"
"13-Aug-2015",5.45,NaN,"-","-"
"14-Aug-2015",3.15,NaN,"-","-"
"15-Aug-2015",0.59,NaN,"-","-"
"16-Aug-2015",5.84,NaN,"-","-"
"17-Aug-2015",3.32,NaN,"-","-"
"18-Aug-2015",6.81,NaN,"-","-"
"19-Aug-2015",24.09,NaN,"-","-"
"20-Aug-2015",2.06,NaN,"-","-"
"21-Aug-2015",3.36,NaN,"-","-"
"22-Aug-2015",4.5,NaN,"-","-"
