Dates,Evapo-Transpiration (mm)
"06-Dec-2018",1.6561597928
"07-Dec-2018",1.4792091725
"08-Dec-2018",1.9242546575
"09-Dec-2018",1.8028317756
"10-Dec-2018",1.8664763589
"11-Dec-2018",1.6963664818
"12-Dec-2018",1.6683074377
"13-Dec-2018",1.7052167228
"14-Dec-2018",1.527590464
"15-Dec-2018",1.36555385
"16-Dec-2018",1.326664022
"17-Dec-2018",1.3072806134
"18-Dec-2018",1.426010191
"19-Dec-2018",1.2617185236
"20-Dec-2018",1.2545599275
"21-Dec-2018",1.2661580984
"22-Dec-2018",1.0958323457
"23-Dec-2018",0.8523682017
"24-Dec-2018",0.9332911899
"25-Dec-2018",1.0842301063
"26-Dec-2018",0.4931693193
"27-Dec-2018",0.495899629
"28-Dec-2018",1.0076998063
"29-Dec-2018",0.7528097902
"30-Dec-2018",0.8221403307
"31-Dec-2018",0.5269896263
"01-Jan-2019",2.0282748003
"02-Jan-2019",2.0828802921
"03-Jan-2019",2.1197924524
"04-Jan-2019",2.1159864307
"05-Jan-2019",2.1061589139
"06-Jan-2019",2.1896398864
"07-Jan-2019",2.1920470175
"08-Jan-2019",0.4553470599
"09-Jan-2019",2.2058497429
"10-Jan-2019",2.2506729108
"11-Jan-2019",2.2925410845
"12-Jan-2019",2.3159346287
"13-Jan-2019",2.2863790827
"14-Jan-2019",2.3122562627
"15-Jan-2019",2.3045997332
"16-Jan-2019",2.2833068929
"17-Jan-2019",2.3007899736
"18-Jan-2019",2.323677215
"19-Jan-2019",2.3325518396
"20-Jan-2019",2.2371726778
"21-Jan-2019",2.2282365043
"22-Jan-2019",2.2061926777
"23-Jan-2019",2.2292640083
"24-Jan-2019",2.1803197913
"25-Jan-2019",1.8787145996
"26-Jan-2019",1.9336084754
"27-Jan-2019",1.8646877187
"28-Jan-2019",1.8928153977
"29-Jan-2019",1.7199207037
"30-Jan-2019",1.5860705708
"31-Jan-2019",1.7466546141
"01-Feb-2019",2.2852264438
"02-Feb-2019",2.4596792741
"03-Feb-2019",2.533453204
"04-Feb-2019",2.4487311744
"05-Feb-2019",2.0945084785
"06-Feb-2019",1.9945079058
"07-Feb-2019",2.0507312688
"08-Feb-2019",2.1485349312
"09-Feb-2019",1.6030218467
"10-Feb-2019",2.2071131822
"11-Feb-2019",2.3467892575
"12-Feb-2019",2.3123022098
"13-Feb-2019",2.3491008221
"14-Feb-2019",2.2222064994
"15-Feb-2019",2.0736729513
"16-Feb-2019",2.1084316609
"17-Feb-2019",2.0160321299
"18-Feb-2019",2.0905186992
"19-Feb-2019",1.8741260222
"20-Feb-2019",1.8696367167
"21-Feb-2019",1.87473831
"22-Feb-2019",0.9785709517
"23-Feb-2019",0.8832226292
"24-Feb-2019",1.9043048268
"25-Feb-2019",1.8798600868
"26-Feb-2019",1.7590497683
"27-Feb-2019",1.6515009193
"28-Feb-2019",1.6492454759
"01-Mar-2019",0.9523340568
"02-Mar-2019",1.016062826
"03-Mar-2019",1.0626951361
"04-Mar-2019",1.6748467335
"05-Mar-2019",0.9316290364
"06-Mar-2019",1.8498338043
"07-Mar-2019",1.5879254949
"08-Mar-2019",1.3939502671
