Dates,Evapo-Transpiration (mm)
"06-Dec-2018",1.7142735218
"07-Dec-2018",1.6192436251
"08-Dec-2018",1.8635587497
"09-Dec-2018",1.7607001202
"10-Dec-2018",1.7451629547
"11-Dec-2018",1.7559034513
"12-Dec-2018",1.660873553
"13-Dec-2018",1.6970612006
"14-Dec-2018",1.3523066319
"15-Dec-2018",1.3634421531
"16-Dec-2018",1.1254701639
"17-Dec-2018",1.3238931211
"18-Dec-2018",1.4073689601
"19-Dec-2018",1.3775478783
"20-Dec-2018",1.3206932985
"21-Dec-2018",1.2620940032
"22-Dec-2018",1.3033556533
"23-Dec-2018",1.0072845541
"24-Dec-2018",0.9861187312
"25-Dec-2018",1.1208547171
"26-Dec-2018",0.4555906109
"27-Dec-2018",0.7266728328
"28-Dec-2018",0.986109142
"29-Dec-2018",0.7778866219
"30-Dec-2018",1.0245764417
"31-Dec-2018",0.5275859807
"01-Jan-2019",2.2373299085
"02-Jan-2019",2.309055549
"03-Jan-2019",2.3807340902
"04-Jan-2019",2.3979056849
"05-Jan-2019",2.400174367
"06-Jan-2019",2.4902552064
"07-Jan-2019",2.4722152378
"08-Jan-2019",0.6943257176
"09-Jan-2019",2.5110495142
"10-Jan-2019",2.4845440065
"11-Jan-2019",2.5308545044
"12-Jan-2019",2.5757333255
"13-Jan-2019",2.5583849913
"14-Jan-2019",2.5765920167
"15-Jan-2019",2.6111624286
"16-Jan-2019",2.5794551575
"17-Jan-2019",2.6636690779
"18-Jan-2019",2.6596501421
"19-Jan-2019",2.6739273992
"20-Jan-2019",2.5365764141
"21-Jan-2019",2.4354946932
"22-Jan-2019",2.4086180786
"23-Jan-2019",2.4052820442
"24-Jan-2019",2.3202454824
"25-Jan-2019",2.1063488521
"26-Jan-2019",2.1190512451
"27-Jan-2019",2.0692862155
"28-Jan-2019",2.0502980586
"29-Jan-2019",1.8469623347
"30-Jan-2019",1.7347845524
"31-Jan-2019",1.8671708763
"01-Feb-2019",2.3756202266
"02-Feb-2019",2.3902805611
"03-Feb-2019",2.246986789
"04-Feb-2019",2.314372566
"05-Feb-2019",2.0709311309
"06-Feb-2019",1.7840736404
"07-Feb-2019",1.7974548333
"08-Feb-2019",1.8223722463
"09-Feb-2019",1.6276280221
"10-Feb-2019",1.4541416881
"11-Feb-2019",1.5101274104
"12-Feb-2019",1.4340380579
"13-Feb-2019",1.4307648182
"14-Feb-2019",1.4049869505
"15-Feb-2019",1.384362125
"16-Feb-2019",1.3056213733
"17-Feb-2019",1.1368761969
"18-Feb-2019",1.1814963845
"19-Feb-2019",1.1570396452
"20-Feb-2019",1.0329202508
"21-Feb-2019",0.9502752918
"22-Feb-2019",0.4905808587
"23-Feb-2019",0.4613492621
"24-Feb-2019",0.9177877357
"25-Feb-2019",0.8706101451
"26-Feb-2019",0.7915603692
"27-Feb-2019",0.7259558606
"28-Feb-2019",0.696214995
"01-Mar-2019",0.3855760602
"02-Mar-2019",0.3654464687
"03-Mar-2019",0.5933662861
"04-Mar-2019",0.7467579865
