Dates,Current Year Level (m),Last Year Level (m),Last 10 Year Average Level (m),Full Reservoir Level (m),Last 10 Year Average Storage (BCM),Last Year Storage (BCM),Current Year Storage (BCM)
"20-Sep-2003",741.71,744.73,745.5366666667,752.5,0.4933333333,0.393,0.204
"21-Sep-2003",741.86,744.7,745.6266666667,752.5,0.4943333333,0.391,0.196
"22-Sep-2003",741.39,744.62,745.4633333334,752.5,0.493,0.386,0.187
"23-Sep-2003",741.22,744.54,745.4,752.5,0.4903333333,0.381,0.178
"24-Sep-2003",741.07,744.47,745.3433333333,752.5,0.4876666667,0.375,0.17
"25-Sep-2003",740.92,744.39,745.2966666666,752.5,0.4873333333,0.37,0.163
"26-Sep-2003",740.76,744.24,745.22,752.5,0.4840000001,0.359,0.155
"27-Sep-2003",740.62,744.32,745.41,752.5,0.487,0.365,0.148
"28-Sep-2003",740.48,744.21,745.15,752.5,0.4826666667,0.357,0.141
"29-Sep-2003",740.33,744.21,745.0966666667,752.5,0.4786666667,0.354,0.134
"30-Sep-2003",740.19,744.17,745.0266666667,752.5,0.4746666666,0.352,0.127
"01-Oct-2003",740.09,744.13,745,752.5,0.475,0.352,0.122
"02-Oct-2003",740.26,744.09,745.0466666666,752.5,0.4773333333,0.349,0.13
"03-Oct-2003",740.59,744.02,745.1333333333,752.5,0.4810000001,0.344,0.146
"04-Oct-2003",740.93,743.96,745.2133333334,752.5,0.4836666667,0.341,0.163
"05-Oct-2003",741.24,743.96,745.2966666667,752.5,0.4870000001,0.341,0.179
"06-Oct-2003",741.62,743.9,745.3833333334,752.5,0.4903333333,0.337,0.199
"07-Oct-2003",741.98,743.82,745.4566666667,752.5,0.4923333333,0.331,0.219
"08-Oct-2003",742.19,743.6,745.4333333334,752.5,0.4896666667,0.317,0.231
"09-Oct-2003",742.37,743.6,745.4800000001,752.5,0.4916666667,0.317,0.241
"10-Oct-2003",742.49,743.6,745.5200000001,752.5,0.4940000001,0.317,0.248
"11-Oct-2003",742.57,743.92,745.6499999999,752.5,0.4999999999,0.337,0.253
"12-Oct-2003",742.64,744.15,745.7366666667,752.5,0.5060000001,0.353,0.257
"13-Oct-2003",742.77,744.36,745.8366666667,752.5,0.5126666666,0.367,0.265
"14-Oct-2003",742.93,745.03,746.1066666666,752.5,0.5309999999,0.415,0.274
"15-Oct-2003",743.04,745.08,746.1766666667,752.5,0.562,0.496,0.281
"16-Oct-2003",743.12,747.07,746.93,752.5,0.598,0.576,0.286
"17-Oct-2003",743.23,747.53,747.1533333333,752.5,0.618,0.619,0.293
"18-Oct-2003",743.23,747.75,747.2466666666,752.5,0.6273333334,0.639,0.293
"19-Oct-2003",743.18,747.85,747.2766666667,752.5,0.6313333333,0.651,0.289
"20-Oct-2003",743.35,748.02,747.4266666666,752.5,0.6443333333,0.664,0.302
"21-Oct-2003",743.65,748.14,747.27,752.5,0.658,0.675,0.319
"22-Oct-2003",743.93,748.22,747.7500000001,752.5,0.6706666667,0.683,0.336
"23-Oct-2003",744.44,748.25,747.9733333334,752.5,0.688,0.686,0.373
"24-Oct-2003",744.44,748.26,747.9433333334,752.5,0.6843333333,0.687,0.373
"25-Oct-2003",744.55,748.27,747.9833333333,752.5,0.6876666667,0.687,0.383
"26-Oct-2003",744.65,748.27,748.0233333333,752.5,0.69,0.687,0.388
"27-Oct-2003",744.72,748.26,748.0566666667,752.5,0.692,0.686,0.39
"28-Oct-2003",744.64,748.16,747.9866666667,752.5,0.6873333333,0.678,0.387
"29-Oct-2003",744.51,747.92,747.8366666667,752.5,0.675,0.654,0.378
"30-Oct-2003",744.35,747.48,747.61,752.5,0.6566666667,0.614,0.367
"31-Oct-2003",744.19,747.27,747.4266666666,752.5,0.6443333334,0.596,0.356
"01-Nov-2003",744.03,747.21,747.3933333333,752.5,0.6353333334,0.59,0.345
"02-Nov-2003",743.87,747.16,747.3,752.5,0.6276666667,0.586,0.335
"03-Nov-2003",743.58,747.28,747.23,752.5,0.624,0.597,0.323
"04-Nov-2003",743.53,747.31,747.1799999999,752.5,0.618,0.599,0.312
"05-Nov-2003",743.39,747.24,747.0833333334,752.5,0.61,0.593,0.303
"06-Nov-2003",743.39,747.06,746.9866666667,752.5,0.6043333333,0.583,0.303
"07-Nov-2003",743.11,746.89,746.8933333333,752.5,0.5963333333,0.563,0.286
"08-Nov-2003",742.97,746.75,746.9133333334,752.5,0.6026666667,0.551,0.277
"09-Nov-2003",742.9,746.63,746.9366666667,752.5,0.6076666667,0.54,0.272
"10-Nov-2003",742.87,746.51,746.9166666667,752.5,0.608,0.531,0.271
"11-Nov-2003",742.83,746.41,746.8766666666,752.5,0.6053333333,0.523,0.268
"12-Nov-2003",742.74,746.31,746.8166666667,752.5,0.6010000001,0.515,0.263
"13-Nov-2003",742.61,746.21,746.7300000001,752.5,0.5946666667,0.507,0.255
"14-Nov-2003",742.49,746.1,746.63,752.5,0.5836666667,0.497,0.248
"15-Nov-2003",742.35,746.01,746.5333333333,752.5,0.5766666666,0.49,0.241
"16-Nov-2003",742.23,745.9,746.4466666666,752.5,0.5723333334,0.482,0.233
"17-Nov-2003",742.09,745.78,746.3633333333,752.5,0.5666666666,0.472,0.225
"18-Nov-2003",742.27,745.67,746.38,752.5,0.5603333333,0.463,0.217
"19-Nov-2003",741.81,745.54,746.17,752.5,0.5533333333,0.453,0.21
"20-Nov-2003",741.67,745.42,746.0733333333,752.5,0.5463333333,0.444,0.202
"21-Nov-2003",741.53,745.31,745.9733333334,752.5,0.5386666667,0.436,0.194
"22-Nov-2003",741.38,745.2,745.8633333334,752.5,0.531,0.428,0.187
"23-Nov-2003",741.24,745.09,745.7566666666,752.5,0.5230000001,0.419,0.179
"24-Nov-2003",741.09,744.98,745.6466666667,752.5,0.425,0.411,0.171
"25-Nov-2003",740.95,744.87,745.5766666666,752.5,0.5076666667,0.403,0.164
"26-Nov-2003",740.81,744.76,745.44,752.5,0.5003333333,0.396,0.157
"27-Nov-2003",740.67,744.66,745.3366666667,752.5,0.4926666666,0.388,0.15
"28-Nov-2003",740.51,744.54,745.22,752.5,0.485,0.38,0.142
"29-Nov-2003",740.36,744.41,745.1066666667,752.5,0.4773333334,0.371,0.135
"30-Nov-2003",740.19,744.28,744.66,752.5,0.4703333333,0.362,0.127
"01-Dec-2003",740.04,744.15,744.8933333333,752.5,0.4636666667,0.353,0.12
"02-Dec-2003",739.92,744.01,744.79,752.5,0.4576666667,0.344,0.115
"03-Dec-2003",739.8,743.87,744.69,752.5,0.451,0.335,0.109
"04-Dec-2003",739.69,743.75,744.6,752.5,0.4443333334,0.326,0.104
"05-Dec-2003",739.58,743.63,744.5066666667,752.5,0.439,0.319,0.099
"06-Dec-2003",739.47,743.44,744.3933333333,752.5,0.434,0.313,0.095
"07-Dec-2003",739.37,743.45,744.3433333334,752.5,0.4283333333,0.307,0.09
"08-Dec-2003",739.26,743.36,744.26,752.5,0.423,0.301,0.086
"09-Dec-2003",739.16,743.27,744.1833333334,752.5,0.418,0.296,0.081
"10-Dec-2003",739.08,743.15,744.1,752.5,0.4133333334,0.29,0.078
"11-Dec-2003",738.99,743.11,744.0366666666,752.5,0.4086666667,0.286,0.074
"12-Dec-2003",738.93,743.04,743.9766666667,752.5,0.4043333334,0.281,0.072
"13-Dec-2003",738.92,742.97,743.9333333334,752.5,0.4006666667,0.277,0.071
"14-Dec-2003",738.86,742.9,743.87,752.5,0.3963333334,0.273,0.068
"15-Dec-2003",738.78,742.82,743.8,752.5,0.392,0.268,0.066
"16-Dec-2003",738.71,742.76,743.7333333334,752.5,0.3873333333,0.264,0.063
"17-Dec-2003",738.62,742.69,743.66,752.5,0.3826666667,0.26,0.059
"18-Dec-2003",738.52,742.61,743.5766666667,752.5,0.3776666666,0.255,0.055
"19-Dec-2003",738.44,742.53,743.5033333334,752.5,0.3726666666,0.25,0.052
"20-Dec-2003",738.35,742.43,743.4233333334,752.5,0.3676666667,0.245,0.048
"21-Dec-2003",738.27,742.34,743.35,752.5,0.3633333333,0.24,0.046
"22-Dec-2003",738.25,742.24,743.2866666666,752.5,0.359,0.234,0.045
"23-Dec-2003",738.28,742.14,743.2433333333,752.5,0.3553333333,0.228,0.046
"24-Dec-2003",738.29,742.02,743.1866666667,752.5,0.3516666666,0.223,0.046
"25-Dec-2003",738.3,741.87,743.1266666667,752.5,0.347,0.213,0.047
"26-Dec-2003",738.3,741.77,743.0766666667,752.5,0.3433333334,0.207,0.047
"27-Dec-2003",738.31,741.71,743.04,752.5,0.3403333334,0.204,0.047
"28-Dec-2003",738.34,741.76,743.0466666666,752.5,0.3396666667,0.207,0.048
"29-Dec-2003",738.36,741.82,743.0533333333,752.5,0.3383333334,0.209,0.048
"30-Dec-2003",738.37,741.83,743.04,752.5,0.3373333333,0.211,0.049
"31-Dec-2003",738.38,741.85,743.0466666667,752.5,0.3376666667,0.212,0.05
"01-Jan-2004",738.4,741.86,744.735,752.5,0.46275,0.212,0.05
"02-Jan-2004",738.39,741.86,744.7175,752.5,0.46225,0.213,0.05
"03-Jan-2004",738.4,741.87,744.715,752.5,0.46125,0.213,0.05
"04-Jan-2004",738.41,741.88,744.715,752.5,0.4605,0.213,0.051
"05-Jan-2004",738.41,741.82,744.6875,752.5,0.4585,0.21,0.051
"06-Jan-2004",738.42,741.67,744.64,752.5,0.45525,0.202,0.051
"07-Jan-2004",738.43,741.51,744.8425,752.5,0.45225,0.193,0.052
"08-Jan-2004",738.44,741.34,744.54,752.5,0.44875,0.184,0.052
"09-Jan-2004",738.44,741.18,744.49,752.5,0.4455,0.176,0.052
"10-Jan-2004",738.44,741.01,744.4275,752.5,0.442,0.167,0.052
"11-Jan-2004",738.42,740.87,744.375,752.5,0.439,0.16,0.052
"12-Jan-2004",738.42,740.73,744.3325,752.5,0.436,0.153,0.052
"13-Jan-2004",738.46,740.58,744.275,752.5,0.4315,0.146,0.053
"14-Jan-2004",738.46,740.43,744.19,752.5,0.42475,0.138,0.053
"15-Jan-2004",738.34,740.28,744.08,752.5,0.4175,0.132,0.048
"16-Jan-2004",738.06,740.12,743.9275,752.5,0.4085,0.124,0.037
"17-Jan-2004",737.84,739.93,743.785,752.5,0.4005,0.115,0.029
"18-Jan-2004",737.85,739.75,743.675,752.5,0.39425,0.107,0.03
"19-Jan-2004",737.85,739.57,743.585,752.5,0.388,0.099,0.03
"20-Jan-2004",737.85,739.39,743.52,752.5,0.38175,0.091,0.03
"21-Jan-2004",737.85,739.19,743.43,752.5,0.37575,0.083,0.03
"22-Jan-2004",737.85,738.97,743.34,752.5,0.36925,0.073,0.03
"23-Jan-2004",737.85,738.81,743.25,752.5,0.364,0.067,0.03
"24-Jan-2004",737.85,738.76,743.18,752.5,0.35975,0.065,0.03
"25-Jan-2004",737.85,738.74,743.13,752.5,0.3555,0.064,0.03
"26-Jan-2004",737.85,738.66,743.09,752.5,0.3505,0.061,0.03
"27-Jan-2004",737.85,738.47,743.02,752.5,0.34475,0.053,0.03
"28-Jan-2004",737.85,738.27,742.9525,752.5,0.339,0.045,0.03
"29-Jan-2004",737.84,738.07,742.815,752.5,0.33325,0.038,0.029
"30-Jan-2004",737.84,737.88,742.7225,752.5,0.32775,0.031,0.029
"31-Jan-2004",737.84,738.88,742.935,752.5,0.32425,0.031,0.029
"01-Feb-2004",737.84,737.82,742.6425,752.5,0.32125,0.029,0.029
"02-Feb-2004",737.84,737.83,742.62,752.5,0.31975,0.029,0.029
"03-Feb-2004",737.84,737.83,742.6075,752.5,0.31825,0.029,0.029
"04-Feb-2004",737.83,737.83,742.5925,752.5,0.3165,0.029,0.029
"05-Feb-2004",737.83,737.83,742.575,752.5,0.31475,0.029,0.029
"06-Feb-2004",737.82,737.83,742.5525,752.5,0.31325,0.029,0.029
"07-Feb-2004",737.82,737.83,742.5275,752.5,0.31075,0.029,0.028
"08-Feb-2004",737.82,737.83,742.49,752.5,0.30725,0.029,0.028
"09-Feb-2004",737.81,737.83,742.4225,752.5,0.30425,0.029,0.028
"10-Feb-2004",737.8,737.83,742.375,752.5,0.30025,0.029,0.028
"11-Feb-2004",737.8,737.82,742.35,752.5,0.2955,0.029,0.028
"12-Feb-2004",737.79,737.7,742.26,752.5,0.28975,0.024,0.028
"13-Feb-2004",737.79,737.77,742.225,752.5,0.28275,0.016,0.027
"14-Feb-2004",737.78,737.22,742.0275,752.5,0.2745,0.007,0.027
"15-Feb-2004",737.78,737.08,741.9075,752.5,0.2705,0.002,0.027
"16-Feb-2004",737.76,736.96,741.8175,752.5,0.26425,0,0.026
"17-Feb-2004",737.74,736.85,741.7575,752.5,0.26,0,0.026
"18-Feb-2004",737.71,736.73,741.6075,752.5,0.25475,0,0.024
"19-Feb-2004",737.69,736.59,741.5675,752.5,0.25075,0,0.024
"20-Feb-2004",737.68,736.43,741.4975,752.5,0.24625,0,0.023
"21-Feb-2004",737.66,736.39,741.455,752.5,0.242,0,0.023
"22-Feb-2004",737.66,736.76,741.44,752.5,0.23525,0,0.022
"23-Feb-2004",737.64,736.57,741.3475,752.5,0.2325,0,0.022
"24-Feb-2004",737.34,736.53,741.2175,752.5,0.2295,0,0.022
"25-Feb-2004",737.64,736.4,741.2175,752.5,0.22675,0,0.022
"26-Feb-2004",737.61,736.25,741.125,752.5,0.223,0,0.021
"27-Feb-2004",737.59,736.11,741.0375,752.5,0.2195,0,0.02
"28-Feb-2004",737.58,735.97,740.9525,752.5,0.2165,0,0.02
"29-Feb-2004",737.57,735.97,740.95,752.5,0.21625,0,0.019
"01-Mar-2004",737.56,735.84,740.8775,752.5,0.2135,0,0.019
"02-Mar-2004",737.56,735.4,740.7475,752.5,0.21225,0,0.019
"03-Mar-2004",737.56,735.58,740.7725,752.5,0.211,0,0.019
"04-Mar-2004",737.52,735.45,740.705,752.5,0.2085,0,0.018
"05-Mar-2004",737.51,735.32,740.63,752.5,0.2055,0,0.017
"06-Mar-2004",737.48,735.2,740.6025,752.5,0.20275,0,0.016
"07-Mar-2004",737.44,735.12,740.485,752.5,0.19925,0,0.015
"08-Mar-2004",737.44,735.09,740.415,752.5,0.195,0,0.015
"09-Mar-2004",737.42,735.05,740.34,752.5,0.19075,0,0.014
"10-Mar-2004",737.39,735,740.2675,752.5,0.18625,0,0.013
"11-Mar-2004",737.36,734.95,740.1825,752.5,0.182,0,0.012
"12-Mar-2004",737.35,734.91,740.11,752.5,0.178,0,0.011
"13-Mar-2004",737.33,734.86,740.0375,752.5,0.17375,0,0.011
"14-Mar-2004",737.32,734.81,739.9575,752.5,0.16925,0,0.01
"15-Mar-2004",737.3,734.76,739.62,752.5,0.16475,0,0.01
"16-Mar-2004",737.29,734.7,739.63,752.5,0.15975,0,0.009
"17-Mar-2004",737.27,734.68,739.695,752.5,0.155,0,0.009
"18-Mar-2004",737.26,734.67,739.61,752.5,0.14975,0,0.008
"19-Mar-2004",737.27,734.67,739.535,752.5,0.14475,0,0.008
"20-Mar-2004",737.15,734.67,739.4225,752.5,0.13925,0,0.005
"21-Mar-2004",736.92,734.68,739.29,752.5,0.13325,0,0
"22-Mar-2004",736.66,734.69,739.155,752.5,0.1285,0,0
"23-Mar-2004",736.56,734.69,739.08,752.5,0.12675,0,0
"24-Mar-2004",736.3,734.69,738.94,752.5,0.12025,0,0
"25-Mar-2004",736.28,734.68,738.8825,752.5,0.1175,0,0
"26-Mar-2004",736.26,734.67,738.83,752.5,0.115,0,0
"27-Mar-2004",736.25,734.66,738.785,752.5,0.114,0,0
"28-Mar-2004",736.23,734.65,738.7725,752.5,0.11375,0,0
"29-Mar-2004",736.22,734.65,738.7575,752.5,0.11325,0,0
"30-Mar-2004",736.2,734.64,738.725,752.5,0.1115,0,0
"31-Mar-2004",736.19,734.63,738.69,752.5,0.10975,0,0
"01-Apr-2004",736,734.62,738.56,752.5,0.1055,0,0
"02-Apr-2004",736,734.6,738.4875,752.5,0.10225,0,0
"03-Apr-2004",736.21,734.59,738.4775,752.5,0.09875,0,0
"04-Apr-2004",736.21,734.58,738.41,752.5,0.09525,0,0
"05-Apr-2004",736.2,734.58,738.3325,752.5,0.09125,0,0
"06-Apr-2004",736.25,734.57,738.265,752.5,0.087,0,0
"07-Apr-2004",736.26,734.57,738.1825,752.5,0.083,0,0
"08-Apr-2004",736.27,734.56,738.095,752.5,0.079,0,0
"09-Apr-2004",736.26,734.55,737.9925,752.5,0.07375,0,0
"10-Apr-2004",736.25,734.55,737.885,752.5,0.06925,0,0
"11-Apr-2004",732.24,734.54,736.7725,752.5,0.06325,0,0
"12-Apr-2004",736.23,734.53,737.665,752.5,0.0585,0,0
"13-Apr-2004",736.23,734.53,737.5625,752.5,0.055,0,0
"14-Apr-2004",736.21,734.53,737.48,752.5,0.051,0,0
"15-Apr-2004",736.2,734.53,737.4425,752.5,0.04975,0,0
"16-Apr-2004",736.2,734.52,737.3925,752.5,0.04775,0,0
"17-Apr-2004",736.17,734.52,737.405,752.5,0.0495,0,0
"18-Apr-2004",736.16,734.51,737.38,752.5,0.04925,0,0
"19-Apr-2004",736.14,734.51,737.3925,752.5,0.05075,0,0
"20-Apr-2004",736.12,734.5,737.4,752.5,0.0515,0,0
"21-Apr-2004",736.1,734.49,737.4175,752.5,0.053,0,0
"22-Apr-2004",736.09,734.48,737.435,752.5,0.0545,0,0
"23-Apr-2004",736.07,734.47,737.4425,752.5,0.0555,0,0
"24-Apr-2004",736.07,734.46,737.455,752.5,0.05625,0,0
"25-Apr-2004",736.05,734.45,737.44,752.5,0.056,0,0
"26-Apr-2004",736.04,734.45,737.4325,752.5,0.05575,0,0
"27-Apr-2004",736.02,734.45,737.4475,752.5,0.0565,0,0
"28-Apr-2004",736.01,734.45,737.4975,752.5,0.05775,0,0
"29-Apr-2004",736,734.45,737.5175,752.5,0.05775,0,0
"30-Apr-2004",735.98,734.45,737.4775,752.5,0.056,0,0
"01-May-2004",735.97,734.38,737.415,752.5,0.05375,0,0
"02-May-2004",735.96,734.35,737.355,752.5,0.0515,0,0
"03-May-2004",735.94,734.33,737.3075,752.5,0.04925,0,0
"04-May-2004",735.94,734.3,737.195,752.5,0.04475,0,0
"05-May-2004",735.94,734.27,737.0725,752.5,0.04,0,0
