,DATE,EVAPO_TRANSP_MM,SOIL_MOIST_PERCENT
0,2018-06-01,3.3898665282,39.79800618684712
1,2018-06-02,3.9075143282,38.96847731361802
2,2018-06-03,2.1403448239,38.01102314215192
3,2018-06-04,2.3754481326,37.16779733213431
4,2018-06-05,1.0401415616,38.176423871758224
5,2018-06-06,1.5032783197,43.30838770442009
6,2018-06-07,1.5340018446,44.197605320386174
7,2018-06-08,1.830309349,44.28665865697341
8,2018-06-09,1.8484561715999999,43.83195011135388
9,2018-06-10,2.0135793203,42.91454859586723
10,2018-06-11,2.2991493394,43.55330748072469
11,2018-06-12,1.4715120654,44.72617418912547
12,2018-06-13,3.8382209312,44.90414907314334
13,2018-06-14,2.601434165,44.69264487774275
14,2018-06-15,4.1194892249,43.9717111046556
15,2018-06-16,4.0310950097000005,41.882565372795995
16,2018-06-17,3.4569282306,40.00249547810477
17,2018-06-18,3.9579191061000003,37.836678645357736
18,2018-06-19,3.5286928982,36.04183451994961
19,2018-06-20,0.8315569222,35.77963190183565
20,2018-06-21,1.7206052513999999,37.03673540819091
21,2018-06-22,3.5116909262,36.569189938415114
22,2018-06-23,2.9650708957,36.53610130167058
23,2018-06-24,3.6703490463,35.830262337825594
24,2018-06-25,3.0956056793,36.96768581267905
25,2018-06-26,2.6545205072,41.20634110338533
26,2018-06-27,2.0235407639,40.928685347890614
27,2018-06-28,2.0123982284,40.491470622472
28,2018-06-29,2.5674219162000003,40.93386803852746
29,2018-06-30,3.1582564670999997,40.26403757385285
30,2018-07-01,3.0521733481,39.26667227756679
31,2018-07-02,3.4306434821,39.426688991367506
32,2018-07-03,3.7824220887999997,37.584585676095216
33,2018-07-04,3.5976149676999998,36.54487871735952
34,2018-07-05,3.9227616379000003,34.409489886186485
35,2018-07-06,2.3589603691,39.81295289571477
36,2018-07-07,2.4354330389,43.63141730441879
37,2018-07-08,2.8503550514,43.44327053241132
38,2018-07-09,2.4258212404,43.82743954113001
39,2018-07-10,2.3270212798,44.405834380912964
40,2018-07-11,1.9514046331000001,44.42246469777834
41,2018-07-12,2.312988301,44.329341098574076
42,2018-07-13,2.2987687,43.469289249577635
43,2018-07-14,1.1079959556999999,43.19623776463508
44,2018-07-15,2.1872892163,42.312202546763075
45,2018-07-16,2.1559032318,40.89759398608898
46,2018-07-17,1.9109669619999998,42.793510177973225
47,2018-07-18,2.7700037467,41.6349909022582
48,2018-07-19,1.9811989072,41.90007867224865
49,2018-07-20,1.3969202777,42.09954337426539
50,2018-07-21,2.089569355,42.80260770765892
51,2018-07-22,3.1664783424,41.29211209511111
52,2018-07-23,2.7165635172000004,39.75022292958345
53,2018-07-24,1.519170573,38.734067629442
54,2018-07-25,2.9852609624,36.927374801738246
55,2018-07-26,3.377686338,34.96412499990255
56,2018-07-27,2.8531598442000004,34.41906502330738
57,2018-07-28,2.9786730858999997,33.43294969669893
58,2018-07-29,2.8728331921,32.821392233542966
59,2018-07-30,2.9282710377999996,33.532082229497206
60,2018-07-31,2.7961365856000002,33.08833487068314
61,2018-08-01,2.3205673378,34.8745148222856
62,2018-08-02,3.1427615961,33.64479424870351
63,2018-08-03,3.1796746683999997,32.09820282616628
64,2018-08-04,2.9850269868,30.326647700902328
65,2018-08-05,3.1935950591,28.3847249250274
66,2018-08-06,1.0025798293000001,27.768127480098
67,2018-08-07,1.8804509388,28.39982807515165
68,2018-08-08,1.807161066,33.17012583101519
69,2018-08-09,2.56317678,32.38570400369477
70,2018-08-10,2.1286652421000003,32.33102270834809
71,2018-08-11,1.31834175,35.03380712794176
72,2018-08-12,1.9503352632,40.47682597572492
73,2018-08-13,1.7157096909,40.700269339320975
74,2018-08-14,1.4416142504,42.144185723043776
75,2018-08-15,1.4022956617,41.345524346157546
76,2018-08-16,1.195542372,42.630191003088676
77,2018-08-17,2.0063790578,41.18511180260044
78,2018-08-18,2.1728342234999998,39.642378572728454
79,2018-08-19,2.1100073502,40.25667366652515
80,2018-08-20,2.2088610544,39.35042984973432
81,2018-08-21,3.6761800763,36.83627260175212
82,2018-08-22,3.2865117823000003,34.654864845977656
83,2018-08-23,3.2930727826,32.55890503088242
84,2018-08-24,3.1983277437,30.69417634820293
85,2018-08-25,2.3911571553,30.37092268364656
86,2018-08-26,2.4582812084,29.80084103535891
87,2018-08-27,2.1834055463,31.176920258892732
88,2018-08-28,2.2421864152,32.92492216210034
89,2018-08-29,2.4777695202000003,36.620802766340596
90,2018-08-30,3.0091438592000004,36.299096567482565
91,2018-08-31,2.8685628942,37.206104397452975
92,2018-09-01,3.5834924437,35.10113759413269
93,2018-09-02,3.2581606738,33.117096560057824
94,2018-09-03,3.6738467557,30.8968662177122
95,2018-09-04,3.6020100436,28.795563133384572
96,2018-09-05,2.8959214116000003,27.17731487394791
97,2018-09-06,3.0788776955,25.440357025361358
98,2018-09-07,2.7323863427,23.920399291947952
99,2018-09-08,2.7292670099,22.433124033151493
100,2018-09-09,2.8365328908999996,20.95439955068012
101,2018-09-10,2.0310480416,20.386191827354864
102,2018-09-11,0.7760610481999999,23.04447080889731
103,2018-09-12,2.3985891829,22.3800502248152
104,2018-09-13,1.7994925186000001,21.672290833841668
105,2018-09-14,2.1129465735,21.441068636151886
106,2018-09-15,2.0531166531,32.38715067487089
107,2018-09-16,2.7908249967,35.526638038085366
108,2018-09-17,1.9953240444,34.661393758590805
109,2018-09-18,3.2489561907,32.60986143524746
110,2018-09-19,2.9507289362,30.820038847242643
111,2018-09-20,3.0843607538,29.237795425444318
112,2018-09-21,2.9939747232,27.533079686505985
