,DATE,EVAPO_TRANSP_MM,SOIL_MOIST_PERCENT
0,2018-06-01,3.9837913787,36.18776129729307
1,2018-06-02,4.6587755916,35.47101999138957
2,2018-06-03,3.1277960033,33.74355680330842
3,2018-06-04,2.6732359688,32.45499578717617
4,2018-06-05,1.4579662006,32.05780645116294
5,2018-06-06,1.1591484859,40.21385570735203
6,2018-06-07,1.8129626177,39.26131269781597
7,2018-06-08,1.7638457012,39.23565852183405
8,2018-06-09,2.0574463762,38.80655219661674
9,2018-06-10,2.1132736745,37.646489518269746
10,2018-06-11,2.8756449791,38.542138265540665
11,2018-06-12,1.4027598911,38.315664085807136
12,2018-06-13,3.8177889901,40.44128157059156
13,2018-06-14,3.4333047089999997,38.50152948027293
14,2018-06-15,4.0093119435,36.56040952397645
15,2018-06-16,4.4327854002,35.58751535075023
16,2018-06-17,4.1395123314,35.86723854590688
17,2018-06-18,4.5227152379,33.70320555693442
18,2018-06-19,4.2254058928,31.67139682112578
19,2018-06-20,1.0998297205,31.052831809990412
20,2018-06-21,2.4508098422,30.03486377956009
21,2018-06-22,3.7239134412,28.973612401264425
22,2018-06-23,3.3418523948,29.264564642778613
23,2018-06-24,3.8849284544,28.35783628356819
24,2018-06-25,3.6858071693,27.801854880760608
25,2018-06-26,2.395927663,32.163807920747836
26,2018-06-27,2.7316131607,31.78996566189169
27,2018-06-28,2.3671058748,31.704909246226805
28,2018-06-29,3.1941007863,33.265925597546484
29,2018-06-30,3.5051921975,31.85445978660754
30,2018-07-01,3.1653044769,31.21104370816463
31,2018-07-02,3.4226243461,32.1605093176209
32,2018-07-03,3.6580273736,30.568896118515447
33,2018-07-04,2.9857844222,29.913188045697613
34,2018-07-05,3.9251193008,27.96710342117273
35,2018-07-06,2.3501226851,31.813420945947637
36,2018-07-07,2.4749187318,37.733824999371976
37,2018-07-08,3.044051775,36.70352012017293
38,2018-07-09,2.8115930614,37.11793897308827
39,2018-07-10,2.8453446178,41.50530935723743
40,2018-07-11,2.7417490932999997,40.88315337171725
41,2018-07-12,2.8810109983,40.07890909641879
42,2018-07-13,2.7096201527,39.543269058732186
43,2018-07-14,1.5408082991,39.169172931869774
44,2018-07-15,2.4338584272,38.40524178710665
45,2018-07-16,2.6642731238,37.18340476936842
46,2018-07-17,2.7561579882,35.99730894403848
47,2018-07-18,3.0896885530000002,34.37048978249957
48,2018-07-19,2.8151693937999998,33.601183787937714
49,2018-07-20,1.3733207763,33.22094446158023
50,2018-07-21,2.2395486815,34.00449677385366
51,2018-07-22,3.1046476844,35.412083916717044
52,2018-07-23,3.0883794706,34.91949595691425
53,2018-07-24,1.9132669479,34.04736470103716
54,2018-07-25,3.7191025601,31.924642480545028
55,2018-07-26,3.5431390111,30.08816026272337
56,2018-07-27,3.2216054516000003,29.194822734573563
57,2018-07-28,3.0101873937,28.509861435340554
58,2018-07-29,3.3008025055,26.935505443068873
59,2018-07-30,3.0576560881,27.550533892940184
60,2018-07-31,2.8529564202,26.67732018029562
61,2018-08-01,2.2793697037,29.988565867368962
62,2018-08-02,3.10275097,28.72123457477461
63,2018-08-03,2.8717641199,28.90136151438467
64,2018-08-04,2.9966267601,27.43231715795377
65,2018-08-05,3.297624165,25.373282410907237
66,2018-08-06,0.9708371995999999,24.7818380744868
67,2018-08-07,2.2128031187,23.96759399491364
68,2018-08-08,2.1580884949,23.32369911522648
69,2018-08-09,2.2369959038,23.171047713339505
70,2018-08-10,2.1319773754,23.65951004256463
71,2018-08-11,1.4245542961000002,25.49454373422011
72,2018-08-12,1.7946701933000002,34.41888239168543
73,2018-08-13,1.9631695149000001,33.316965842892685
74,2018-08-14,1.4833929099,36.63346002957939
75,2018-08-15,1.814763172,35.110624967657714
76,2018-08-16,1.6359417419,34.42417673639733
77,2018-08-17,2.1700949730000003,32.905938788900514
78,2018-08-18,2.3436391114,31.365017977074537
79,2018-08-19,2.1461421438999997,30.935680270715228
80,2018-08-20,2.2301671079,29.797487345151477
81,2018-08-21,3.3724686676999998,27.687908314130745
82,2018-08-22,3.0717911895,25.785784992381426
83,2018-08-23,2.9234830067,24.423408409946624
84,2018-08-24,2.671595264,23.03205844978102
85,2018-08-25,2.3018006192,22.48994710720827
86,2018-08-26,2.1013684493,22.652571833208903
87,2018-08-27,1.936597035,24.793561347874302
88,2018-08-28,2.2295624857,29.582848081202588
89,2018-08-29,2.7964255362,32.34345558213565
90,2018-08-30,3.1128997899,33.84578518970848
91,2018-08-31,3.1997350036000003,36.24365403918252
92,2018-09-01,3.6426426383,33.976440855813536
93,2018-09-02,3.7209663685,31.595579474910263
94,2018-09-03,3.866128598,29.135918886490213
95,2018-09-04,3.680046237,26.840825865466037
96,2018-09-05,3.0571561938,24.94987454988005
97,2018-09-06,3.0814351345,23.129720206732358
98,2018-09-07,2.8657756185000003,21.415218916409724
99,2018-09-08,2.7749123241,19.821187374261513
100,2018-09-09,2.7460889806999997,18.24055576463411
101,2018-09-10,1.7953679024,17.614650431909734
102,2018-09-11,0.8815703917000001,25.677819368567558
103,2018-09-12,2.6716721019,26.243494455792774
104,2018-09-13,2.0719729563,25.29134309033191
105,2018-09-14,2.5448213655000003,25.01904888569252
106,2018-09-15,2.3453722568,35.68041176510986
107,2018-09-16,3.2901742082,38.477644212154324
108,2018-09-17,2.6680695180000003,36.943383406397146
109,2018-09-18,3.6598570988,34.41149656805924
110,2018-09-19,3.4659030909,32.13384879717143
111,2018-09-20,2.8810635758,32.73680836802025
112,2018-09-21,3.5370382825,30.40320438532625
