Temperature - (Celsius), Year, Statistics, Longitude, Latitude
27.300001144409, 1999, Apr Average, 76.0218, 12.8138
25, 1999, May Average, 76.0218, 12.8138
23.300001144409, 1999, Jun Average, 76.0218, 12.8138
22.700000762939, 1999, Jul Average, 76.0218, 12.8138
23.10000038147, 1999, Aug Average, 76.0218, 12.8138
23.89999961853, 1999, Sep Average, 76.0218, 12.8138
23.700000762939, 1999, Oct Average, 76.0218, 12.8138
23, 1999, Nov Average, 76.0218, 12.8138
21.700000762939, 1999, Dec Average, 76.0218, 12.8138
22.700000762939, 2000, Jan Average, 76.0218, 12.8138
24.300001144409, 2000, Feb Average, 76.0218, 12.8138
26, 2000, Mar Average, 76.0218, 12.8138
27.5, 2000, Apr Average, 76.0218, 12.8138
25.800001144409, 2000, May Average, 76.0218, 12.8138
23.300001144409, 2000, Jun Average, 76.0218, 12.8138
22.800001144409, 2000, Jul Average, 76.0218, 12.8138
22.60000038147, 2000, Aug Average, 76.0218, 12.8138
23.700000762939, 2000, Sep Average, 76.0218, 12.8138
23.800001144409, 2000, Oct Average, 76.0218, 12.8138
23.300001144409, 2000, Nov Average, 76.0218, 12.8138
21.39999961853, 2000, Dec Average, 76.0218, 12.8138
22.800001144409, 2001, Jan Average, 76.0218, 12.8138
24.800001144409, 2001, Feb Average, 76.0218, 12.8138
26.60000038147, 2001, Mar Average, 76.0218, 12.8138
27.39999961853, 2001, Apr Average, 76.0218, 12.8138
26.300001144409, 2001, May Average, 76.0218, 12.8138
23.800001144409, 2001, Jun Average, 76.0218, 12.8138
23.300001144409, 2001, Jul Average, 76.0218, 12.8138
22.89999961853, 2001, Aug Average, 76.0218, 12.8138
24, 2001, Sep Average, 76.0218, 12.8138
23.5, 2001, Oct Average, 76.0218, 12.8138
23.5, 2001, Nov Average, 76.0218, 12.8138
21.89999961853, 2001, Dec Average, 76.0218, 12.8138
22.700000762939, 2002, Jan Average, 76.0218, 12.8138
24.200000762939, 2002, Feb Average, 76.0218, 12.8138
26.700000762939, 2002, Mar Average, 76.0218, 12.8138
27.800001144409, 2002, Apr Average, 76.0218, 12.8138
26.700000762939, 2002, May Average, 76.0218, 12.8138
24, 2002, Jun Average, 76.0218, 12.8138
23.89999961853, 2002, Jul Average, 76.0218, 12.8138
23.10000038147, 2002, Aug Average, 76.0218, 12.8138
24.300001144409, 2002, Sep Average, 76.0218, 12.8138
24.10000038147, 2002, Oct Average, 76.0218, 12.8138
23.10000038147, 2002, Nov Average, 76.0218, 12.8138
22.10000038147, 2002, Dec Average, 76.0218, 12.8138
22.700000762939, 2003, Jan Average, 76.0218, 12.8138
24.89999961853, 2003, Feb Average, 76.0218, 12.8138
26.60000038147, 2003, Mar Average, 76.0218, 12.8138
27.5, 2003, Apr Average, 76.0218, 12.8138
27.10000038147, 2003, May Average, 76.0218, 12.8138
24.89999961853, 2003, Jun Average, 76.0218, 12.8138
23.300001144409, 2003, Jul Average, 76.0218, 12.8138
23.39999961853, 2003, Aug Average, 76.0218, 12.8138
24.200000762939, 2003, Sep Average, 76.0218, 12.8138
24.10000038147, 2003, Oct Average, 76.0218, 12.8138
23.300001144409, 2003, Nov Average, 76.0218, 12.8138
21.89999961853, 2003, Dec Average, 76.0218, 12.8138
22.5, 2004, Jan Average, 76.0218, 12.8138
24.10000038147, 2004, Feb Average, 76.0218, 12.8138
26.89999961853, 2004, Mar Average, 76.0218, 12.8138
27.800001144409, 2004, Apr Average, 76.0218, 12.8138
24.800001144409, 2004, May Average, 76.0218, 12.8138
23.5, 2004, Jun Average, 76.0218, 12.8138
23.10000038147, 2004, Jul Average, 76.0218, 12.8138
23.39999961853, 2004, Aug Average, 76.0218, 12.8138
23.5, 2004, Sep Average, 76.0218, 12.8138
23.5, 2004, Oct Average, 76.0218, 12.8138
23, 2004, Nov Average, 76.0218, 12.8138
21.89999961853, 2004, Dec Average, 76.0218, 12.8138
23, 2005, Jan Average, 76.0218, 12.8138
24.60000038147, 2005, Feb Average, 76.0218, 12.8138
26.60000038147, 2005, Mar Average, 76.0218, 12.8138
26.800001144409, 2005, Apr Average, 76.0218, 12.8138
26.5, 2005, May Average, 76.0218, 12.8138
24.39999961853, 2005, Jun Average, 76.0218, 12.8138
23.200000762939, 2005, Jul Average, 76.0218, 12.8138
23.39999961853, 2005, Aug Average, 76.0218, 12.8138
23.5, 2005, Sep Average, 76.0218, 12.8138
23.60000038147, 2005, Oct Average, 76.0218, 12.8138
22.200000762939, 2005, Nov Average, 76.0218, 12.8138
21.800001144409, 2005, Dec Average, 76.0218, 12.8138
22.5, 2006, Jan Average, 76.0218, 12.8138
24, 2006, Feb Average, 76.0218, 12.8138
26.200000762939, 2006, Mar Average, 76.0218, 12.8138
27.300001144409, 2006, Apr Average, 76.0218, 12.8138
26, 2006, May Average, 76.0218, 12.8138
23.89999961853, 2006, Jun Average, 76.0218, 12.8138
23.60000038147, 2006, Jul Average, 76.0218, 12.8138
23.300001144409, 2006, Aug Average, 76.0218, 12.8138
24, 2006, Sep Average, 76.0218, 12.8138
24, 2006, Oct Average, 76.0218, 12.8138
23.39999961853, 2006, Nov Average, 76.0218, 12.8138
22.200000762939, 2006, Dec Average, 76.0218, 12.8138
22.800001144409, 2007, Jan Average, 76.0218, 12.8138
24.300001144409, 2007, Feb Average, 76.0218, 12.8138
26.60000038147, 2007, Mar Average, 76.0218, 12.8138
27.5, 2007, Apr Average, 76.0218, 12.8138
26.60000038147, 2007, May Average, 76.0218, 12.8138
23.89999961853, 2007, Jun Average, 76.0218, 12.8138
23.39999961853, 2007, Jul Average, 76.0218, 12.8138
23, 2007, Aug Average, 76.0218, 12.8138
23.39999961853, 2007, Sep Average, 76.0218, 12.8138
23.800001144409, 2007, Oct Average, 76.0218, 12.8138
22.89999961853, 2007, Nov Average, 76.0218, 12.8138
22.10000038147, 2007, Dec Average, 76.0218, 12.8138
22.700000762939, 2008, Jan Average, 76.0218, 12.8138
24.200000762939, 2008, Feb Average, 76.0218, 12.8138
25.300001144409, 2008, Mar Average, 76.0218, 12.8138
26.60000038147, 2008, Apr Average, 76.0218, 12.8138
26.39999961853, 2008, May Average, 76.0218, 12.8138
23.800001144409, 2008, Jun Average, 76.0218, 12.8138
23.300001144409, 2008, Jul Average, 76.0218, 12.8138
23, 2008, Aug Average, 76.0218, 12.8138
23.60000038147, 2008, Sep Average, 76.0218, 12.8138
24, 2008, Oct Average, 76.0218, 12.8138
23.300001144409, 2008, Nov Average, 76.0218, 12.8138
22.5, 2008, Dec Average, 76.0218, 12.8138
22.60000038147, 2009, Jan Average, 76.0218, 12.8138
24.800001144409, 2009, Feb Average, 76.0218, 12.8138
26.700000762939, 2009, Mar Average, 76.0218, 12.8138
27.700000762939, 2009, Apr Average, 76.0218, 12.8138
