,Temperature - (Celsius), Year, Statistics, Longitude, Latitude
93,24.5,1998.0, Oct Average,76.5724,12.4255
94,23.800001144409,1998.0, Nov Average,76.5724,12.4255
95,22.600000381470004,1998.0, Dec Average,76.5724,12.4255
96,22.700000762939,1999.0, Jan Average,76.5724,12.4255
97,25.200000762939,1999.0, Feb Average,76.5724,12.4255
98,27.700000762939,1999.0, Mar Average,76.5724,12.4255
99,28.200000762939,1999.0, Apr Average,76.5724,12.4255
100,26.0,1999.0, May Average,76.5724,12.4255
101,24.600000381470004,1999.0, Jun Average,76.5724,12.4255
102,23.899999618529996,1999.0, Jul Average,76.5724,12.4255
103,24.399999618529996,1999.0, Aug Average,76.5724,12.4255
104,25.200000762939,1999.0, Sep Average,76.5724,12.4255
105,24.5,1999.0, Oct Average,76.5724,12.4255
106,23.700000762939,1999.0, Nov Average,76.5724,12.4255
107,22.5,1999.0, Dec Average,76.5724,12.4255
108,23.200000762939,2000.0, Jan Average,76.5724,12.4255
109,25.200000762939,2000.0, Feb Average,76.5724,12.4255
110,26.899999618529996,2000.0, Mar Average,76.5724,12.4255
111,28.399999618529996,2000.0, Apr Average,76.5724,12.4255
112,27.0,2000.0, May Average,76.5724,12.4255
113,24.600000381470004,2000.0, Jun Average,76.5724,12.4255
114,24.100000381470004,2000.0, Jul Average,76.5724,12.4255
115,23.899999618529996,2000.0, Aug Average,76.5724,12.4255
116,25.0,2000.0, Sep Average,76.5724,12.4255
117,24.600000381470004,2000.0, Oct Average,76.5724,12.4255
118,23.899999618529996,2000.0, Nov Average,76.5724,12.4255
119,22.399999618529996,2000.0, Dec Average,76.5724,12.4255
120,23.399999618529996,2001.0, Jan Average,76.5724,12.4255
121,25.700000762939,2001.0, Feb Average,76.5724,12.4255
122,27.600000381470004,2001.0, Mar Average,76.5724,12.4255
123,28.300001144409,2001.0, Apr Average,76.5724,12.4255
124,27.399999618529996,2001.0, May Average,76.5724,12.4255
125,25.0,2001.0, Jun Average,76.5724,12.4255
126,24.5,2001.0, Jul Average,76.5724,12.4255
127,24.200000762939,2001.0, Aug Average,76.5724,12.4255
128,25.200000762939,2001.0, Sep Average,76.5724,12.4255
129,24.399999618529996,2001.0, Oct Average,76.5724,12.4255
130,24.100000381470004,2001.0, Nov Average,76.5724,12.4255
131,22.700000762939,2001.0, Dec Average,76.5724,12.4255
132,23.300001144409,2002.0, Jan Average,76.5724,12.4255
133,25.0,2002.0, Feb Average,76.5724,12.4255
134,27.5,2002.0, Mar Average,76.5724,12.4255
135,28.700000762939,2002.0, Apr Average,76.5724,12.4255
136,27.700000762939,2002.0, May Average,76.5724,12.4255
137,25.300001144409,2002.0, Jun Average,76.5724,12.4255
138,25.100000381470004,2002.0, Jul Average,76.5724,12.4255
139,24.5,2002.0, Aug Average,76.5724,12.4255
140,25.600000381470004,2002.0, Sep Average,76.5724,12.4255
141,24.899999618529996,2002.0, Oct Average,76.5724,12.4255
142,23.700000762939,2002.0, Nov Average,76.5724,12.4255
143,22.800001144409,2002.0, Dec Average,76.5724,12.4255
144,23.300001144409,2003.0, Jan Average,76.5724,12.4255
145,25.800001144409,2003.0, Feb Average,76.5724,12.4255
146,27.399999618529996,2003.0, Mar Average,76.5724,12.4255
147,28.5,2003.0, Apr Average,76.5724,12.4255
148,28.100000381470004,2003.0, May Average,76.5724,12.4255
149,26.100000381470004,2003.0, Jun Average,76.5724,12.4255
150,24.600000381470004,2003.0, Jul Average,76.5724,12.4255
151,24.700000762939,2003.0, Aug Average,76.5724,12.4255
152,25.399999618529996,2003.0, Sep Average,76.5724,12.4255
153,24.899999618529996,2003.0, Oct Average,76.5724,12.4255
154,23.800001144409,2003.0, Nov Average,76.5724,12.4255
155,22.800001144409,2003.0, Dec Average,76.5724,12.4255
156,23.200000762939,2004.0, Jan Average,76.5724,12.4255
157,25.0,2004.0, Feb Average,76.5724,12.4255
158,27.700000762939,2004.0, Mar Average,76.5724,12.4255
159,28.600000381470004,2004.0, Apr Average,76.5724,12.4255
160,25.800001144409,2004.0, May Average,76.5724,12.4255
161,24.700000762939,2004.0, Jun Average,76.5724,12.4255
162,24.300001144409,2004.0, Jul Average,76.5724,12.4255
163,24.700000762939,2004.0, Aug Average,76.5724,12.4255
164,24.600000381470004,2004.0, Sep Average,76.5724,12.4255
165,24.399999618529996,2004.0, Oct Average,76.5724,12.4255
166,23.600000381470004,2004.0, Nov Average,76.5724,12.4255
167,22.800001144409,2004.0, Dec Average,76.5724,12.4255
168,23.5,2005.0, Jan Average,76.5724,12.4255
169,25.5,2005.0, Feb Average,76.5724,12.4255
170,27.5,2005.0, Mar Average,76.5724,12.4255
171,27.700000762939,2005.0, Apr Average,76.5724,12.4255
172,27.5,2005.0, May Average,76.5724,12.4255
173,25.600000381470004,2005.0, Jun Average,76.5724,12.4255
174,24.399999618529996,2005.0, Jul Average,76.5724,12.4255
175,24.700000762939,2005.0, Aug Average,76.5724,12.4255
176,24.800001144409,2005.0, Sep Average,76.5724,12.4255
177,24.399999618529996,2005.0, Oct Average,76.5724,12.4255
178,22.800001144409,2005.0, Nov Average,76.5724,12.4255
179,22.600000381470004,2005.0, Dec Average,76.5724,12.4255
180,22.899999618529996,2006.0, Jan Average,76.5724,12.4255
181,24.800001144409,2006.0, Feb Average,76.5724,12.4255
182,27.100000381470004,2006.0, Mar Average,76.5724,12.4255
183,28.300001144409,2006.0, Apr Average,76.5724,12.4255
184,27.0,2006.0, May Average,76.5724,12.4255
185,25.200000762939,2006.0, Jun Average,76.5724,12.4255
186,24.700000762939,2006.0, Jul Average,76.5724,12.4255
187,24.700000762939,2006.0, Aug Average,76.5724,12.4255
188,25.200000762939,2006.0, Sep Average,76.5724,12.4255
189,24.800001144409,2006.0, Oct Average,76.5724,12.4255
190,24.0,2006.0, Nov Average,76.5724,12.4255
191,23.0,2006.0, Dec Average,76.5724,12.4255
192,23.399999618529996,2007.0, Jan Average,76.5724,12.4255
193,25.200000762939,2007.0, Feb Average,76.5724,12.4255
194,27.5,2007.0, Mar Average,76.5724,12.4255
195,28.399999618529996,2007.0, Apr Average,76.5724,12.4255
196,27.600000381470004,2007.0, May Average,76.5724,12.4255
197,25.100000381470004,2007.0, Jun Average,76.5724,12.4255
198,24.600000381470004,2007.0, Jul Average,76.5724,12.4255
199,24.300001144409,2007.0, Aug Average,76.5724,12.4255
200,24.700000762939,2007.0, Sep Average,76.5724,12.4255
201,24.700000762939,2007.0, Oct Average,76.5724,12.4255
202,23.5,2007.0, Nov Average,76.5724,12.4255
203,22.899999618529996,2007.0, Dec Average,76.5724,12.4255
204,23.399999618529996,2008.0, Jan Average,76.5724,12.4255
205,25.200000762939,2008.0, Feb Average,76.5724,12.4255
206,26.200000762939,2008.0, Mar Average,76.5724,12.4255
207,27.600000381470004,2008.0, Apr Average,76.5724,12.4255
208,27.5,2008.0, May Average,76.5724,12.4255
209,25.100000381470004,2008.0, Jun Average,76.5724,12.4255
210,24.5,2008.0, Jul Average,76.5724,12.4255
211,24.300001144409,2008.0, Aug Average,76.5724,12.4255
212,24.899999618529996,2008.0, Sep Average,76.5724,12.4255
213,24.800001144409,2008.0, Oct Average,76.5724,12.4255
214,23.899999618529996,2008.0, Nov Average,76.5724,12.4255
215,23.200000762939,2008.0, Dec Average,76.5724,12.4255
216,23.200000762939,2009.0, Jan Average,76.5724,12.4255
217,25.700000762939,2009.0, Feb Average,76.5724,12.4255
218,27.600000381470004,2009.0, Mar Average,76.5724,12.4255
219,28.600000381470004,2009.0, Apr Average,76.5724,12.4255
220,27.5,2009.0, May Average,76.5724,12.4255
221,25.5,2009.0, Jun Average,76.5724,12.4255
222,24.600000381470004,2009.0, Jul Average,76.5724,12.4255
223,24.899999618529996,2009.0, Aug Average,76.5724,12.4255
224,25.200000762939,2009.0, Sep Average,76.5724,12.4255
225,24.899999618529996,2009.0, Oct Average,76.5724,12.4255
226,24.0,2009.0, Nov Average,76.5724,12.4255
227,23.300001144409,2009.0, Dec Average,76.5724,12.4255
228,23.600000381470004,2010.0, Jan Average,76.5724,12.4255
229,25.800001144409,2010.0, Feb Average,76.5724,12.4255
230,28.399999618529996,2010.0, Mar Average,76.5724,12.4255
231,29.200000762939,2010.0, Apr Average,76.5724,12.4255
232,27.800001144409,2010.0, May Average,76.5724,12.4255
233,25.5,2010.0, Jun Average,76.5724,12.4255
234,24.0,2010.0, Jul Average,76.5724,12.4255
235,24.300001144409,2010.0, Aug Average,76.5724,12.4255
236,24.800001144409,2010.0, Sep Average,76.5724,12.4255
237,24.899999618529996,2010.0, Oct Average,76.5724,12.4255
238,24.0,2010.0, Nov Average,76.5724,12.4255
239,22.600000381470004,2010.0, Dec Average,76.5724,12.4255
240,23.200000762939,2011.0, Jan Average,76.5724,12.4255
241,25.0,2011.0, Feb Average,76.5724,12.4255
242,27.200000762939,2011.0, Mar Average,76.5724,12.4255
243,27.700000762939,2011.0, Apr Average,76.5724,12.4255
